,Criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,score
380,entropy,10,945,24,56,0.846190895223
381,entropy,9,3512,29,204,0.751080539643
382,entropy,5,3425,43,465,0.73573688767
383,entropy,36,2570,2,505,0.782082878539
384,entropy,20,3808,37,517,0.745318267467
385,gini,48,4810,3,278,0.733421256852
386,entropy,29,2851,6,34,0.773925634451
387,entropy,9,833,37,269,0.834918586891
388,entropy,14,2842,8,600,0.771040349349
389,gini,39,1291,11,38,0.847417842911
390,gini,27,1814,28,455,0.81404924776
391,gini,27,2513,21,228,0.795294475962
392,entropy,38,4368,8,293,0.744858162084
393,gini,49,672,31,179,0.845226864897
394,gini,28,3558,48,277,0.750729983161
395,gini,26,1554,35,715,0.825026047609
396,entropy,12,1459,33,633,0.825573792113
397,entropy,22,3948,10,735,0.749765952835
398,entropy,36,2338,21,47,0.821301384986
399,gini,9,808,39,139,0.84413137589
400,entropy,12,3758,41,468,0.74586601197
401,gini,40,4918,13,235,0.733421256852
402,gini,17,3047,45,181,0.780943569971
403,entropy,5,137,2,514,0.818871562362
404,gini,11,2793,34,108,0.789444564665
405,gini,16,2706,11,329,0.779826171184
406,gini,46,301,44,734,0.848888956404
407,entropy,16,1068,45,526,0.999988107872
408,entropy,2,1048,35,83,0.816919428958
409,entropy,11,662,24,526,0.844675005021
410,entropy,24,3228,15,151,0.770580243966
411,gini,42,4185,48,74,0.762473625315
412,entropy,45,679,45,289,0.80582262554
413,entropy,37,1010,20,304,0.838171915692
414,entropy,6,500,19,375,0.846271753132
415,gini,2,176,27,571,0.797375905075
416,entropy,41,3914,46,588,0.74908674965
417,entropy,7,449,15,261,0.848005408215
418,entropy,49,2138,41,570,0.799961259131
419,gini,10,496,36,387,0.847490470075
420,entropy,27,4599,45,41,0.733421256852
421,entropy,4,4193,24,629,0.749634494154
422,entropy,4,3897,8,265,0.7505766147
423,gini,18,4207,40,398,0.746435666254
424,entropy,7,2924,19,77,0.798580942983
425,gini,14,4994,15,2,0.733421256852
426,entropy,11,2188,13,579,0.79820847672
427,gini,4,2263,30,533,0.79663097255
428,gini,32,3095,23,507,0.76008545928
429,entropy,6,849,18,361,0.823879933166
430,gini,3,3122,45,101,0.778226757234
431,gini,40,3086,4,195,0.769944860342
432,gini,21,1087,18,221,0.838763479756
433,gini,33,1994,45,651,0.808571802726
434,entropy,27,440,34,530,0.847513829387
435,gini,17,3441,7,620,0.754104089302
436,gini,13,2304,43,413,0.797112987713
437,entropy,8,3778,8,224,0.750970990742
438,gini,47,4800,11,78,0.733421256852
439,gini,22,4789,24,346,0.733421256852
440,gini,34,2621,15,470,0.779519434262
441,gini,26,2789,23,611,0.773932440327
442,entropy,32,2433,15,161,0.803948839116
443,entropy,31,1114,24,239,0.839179765579
444,entropy,31,1558,13,284,0.824741220468
445,entropy,4,1381,42,220,0.832015267474
446,entropy,19,1437,42,283,0.830985507807
447,entropy,37,1691,28,731,0.819548602575
448,entropy,40,4548,43,679,0.733421256852
449,entropy,22,4113,34,50,0.755725413032
450,gini,9,3430,10,487,0.752285577551
451,gini,46,2782,11,534,0.770602153746
452,gini,23,1144,32,86,0.839092126458
453,entropy,35,210,26,640,0.849988057779
454,entropy,24,3154,21,139,0.783156457765
455,entropy,44,3649,35,396,0.748078899764
456,gini,25,2781,18,645,0.774041989228
457,gini,24,4357,3,209,0.746939591197
458,entropy,44,3568,13,565,0.748801922509
459,entropy,25,1022,28,476,0.835498922515
460,gini,47,825,47,560,0.84099827733
461,gini,22,3181,40,613,0.760479835322
462,entropy,36,774,21,386,0.840384803486
463,entropy,23,4582,49,520,0.733421256852
464,entropy,21,909,45,51,0.846979647308
465,gini,23,3099,7,11,0.807322945258
466,gini,21,3726,45,402,0.748166538885
467,gini,16,1395,20,634,0.829408003637
468,entropy,24,1886,31,373,0.798898908344
469,entropy,23,1596,40,24,0.849170625322
470,entropy,37,1982,12,386,0.807542043059
471,entropy,27,4329,10,537,0.745318267467
472,gini,18,1016,26,7,0.845156222845
473,gini,26,2719,42,656,0.778445855036
474,entropy,31,1399,7,638,0.827961958148
475,entropy,34,4141,44,654,0.749722133274
476,gini,20,1481,20,339,0.82835633419
477,gini,18,3745,29,175,0.757412466103
478,entropy,18,2607,16,287,0.782214337219
479,entropy,5,4874,28,394,0.733421256852
480,gini,47,3415,5,302,0.755703503252
481,gini,49,1707,14,197,0.821849129489
482,gini,46,963,13,714,0.836703960423
483,entropy,14,4066,9,214,0.750773802721
484,gini,5,1455,24,367,0.826581641999
485,gini,38,4989,28,336,0.733421256852
486,gini,25,3598,42,19,0.764248317506
487,entropy,17,4033,29,35,0.733837542674
488,entropy,46,4770,30,516,0.53494712422
489,gini,42,2452,35,344,0.790978249275
490,entropy,44,165,10,637,0.851066392043
491,gini,11,1288,44,585,0.832278184835
492,gini,28,1740,45,620,0.816656511597
493,gini,25,737,12,345,0.844876308415
494,gini,45,4008,26,145,0.758354586649
495,gini,20,2495,3,658,0.788765361481
496,entropy,15,1693,35,616,0.818453113568
497,entropy,24,1108,11,47,0.845906068081
498,entropy,23,2374,44,554,0.792029918721
499,entropy,36,4923,17,232,0.733421256852
500,gini,41,1213,40,189,0.999989953221
501,entropy,5,1961,4,677,0.809908299314
502,entropy,44,3202,20,386,0.758288857308
503,gini,14,3998,18,680,0.737110207688
504,entropy,19,2102,38,67,0.814060476199
505,gini,2,3759,10,262,0.750839532061
506,gini,20,3408,2,62,0.769484754959
507,entropy,40,823,23,280,0.842707240181
508,entropy,15,710,39,78,0.846059436542
509,entropy,46,2077,26,258,0.814180706441
510,entropy,30,3928,33,89,0.751628284146
511,gini,31,2409,21,673,0.793037768608
512,entropy,11,3829,20,569,0.749262027891
513,entropy,21,1545,38,223,0.827370394084
514,entropy,35,2301,15,667,0.798997228805
515,gini,11,2077,7,135,0.811989728427
516,entropy,25,1532,26,128,0.832453463076
517,gini,12,1064,37,139,0.839749419862
518,gini,18,139,13,180,0.851348636414
519,gini,14,2221,5,13,0.828137236389
520,gini,21,4139,46,647,0.741363825701
521,gini,33,2797,14,441,0.772113928576
522,gini,11,1849,10,593,0.810675141619
523,entropy,22,4654,18,34,0.733421256852
524,gini,37,718,48,41,0.847159040921
525,entropy,32,4205,39,68,0.759734902798
526,gini,36,931,3,136,0.841918488096
527,gini,43,673,6,21,0.847879356368
528,entropy,41,2848,7,88,0.788086158296
529,entropy,7,3705,23,689,0.751584464586
530,entropy,16,4592,33,171,0.736138069589
531,gini,15,118,8,746,0.851185488137
532,entropy,13,3922,41,616,0.749437306133
533,entropy,14,155,24,591,0.821684616259
534,entropy,24,4611,42,457,0.733421256852
535,entropy,13,1843,13,498,0.809601562392
536,entropy,8,4120,9,397,0.747049140097
537,gini,4,1147,35,719,0.832694470658
538,gini,43,307,24,435,0.999971050953
539,entropy,10,1571,29,175,0.827874319027
540,entropy,36,1459,2,67,0.843254984684
541,gini,43,3471,29,638,0.752614224253
542,entropy,18,1272,30,358,0.829758560119
543,entropy,35,4518,45,91,0.733421256852
544,gini,10,3567,39,59,0.588316076431
545,gini,8,4285,34,51,0.751474915685
546,gini,15,1542,16,141,0.83304502714
547,gini,27,1630,32,369,0.819570512355
548,entropy,13,553,12,194,0.99998380166
549,gini,19,453,43,415,0.847783527961
550,gini,47,4294,39,173,0.756733262919
551,gini,37,3156,38,97,0.776649253064
552,entropy,36,3706,3,593,0.748035080204
553,gini,7,4156,11,154,0.75850795511
554,gini,9,845,32,4,0.836205756175
555,entropy,20,4395,27,541,0.733793723114
556,gini,13,1384,16,532,0.830963598027
557,gini,38,78,42,722,0.851962228655
558,gini,13,3316,48,247,0.999973942253
559,entropy,47,983,45,134,0.838719660196
560,gini,26,4046,35,221,0.75217602865
561,gini,28,2518,33,450,0.786092368304
562,gini,20,3359,48,510,0.754783292486
563,entropy,44,722,3,638,0.831873127452
564,entropy,4,1483,41,361,0.823842919482
565,entropy,26,2790,24,210,0.781732322056
566,gini,47,3591,46,519,0.745011530545
567,gini,43,4853,33,234,0.733421256852
568,entropy,9,4060,9,115,0.757894481266
569,entropy,25,1345,4,543,0.829517552538
570,gini,37,2619,29,181,0.792314745863
571,entropy,38,1881,49,558,0.808659441846
572,gini,36,3827,4,698,0.742262126686
573,entropy,12,499,4,127,0.847772173251
574,gini,8,1972,21,44,0.821608121908
575,gini,32,4696,29,582,0.733421256852
576,entropy,23,2527,37,318,0.787976609396
577,gini,24,4272,21,583,0.747640704161
578,gini,3,4155,49,383,0.74746542592
579,entropy,15,4614,7,196,0.733421256852
580,gini,3,2946,6,647,0.768564544193
581,gini,22,2540,45,108,0.797156807274
582,entropy,15,791,24,88,0.840165705685
583,entropy,15,610,2,716,0.844379281296
584,entropy,39,3209,43,745,0.759033789833
585,entropy,10,3204,33,161,0.77281504154
586,entropy,3,3195,5,184,0.767074679144
587,entropy,44,3644,35,139,0.760589384223
588,gini,42,114,37,409,0.851419645636
589,gini,23,2577,4,702,0.784690142375
590,gini,33,1802,33,129,0.822068227291
591,gini,5,4339,26,133,0.758814692032
592,entropy,19,40,5,451,0.853371085675
593,gini,41,4126,47,181,0.755177668529
594,entropy,6,1428,17,198,0.801831977078
595,entropy,24,740,15,267,0.999985406832
596,gini,23,4457,41,465,0.733421256852
597,gini,42,2313,15,662,0.798427574522
598,gini,16,1326,7,609,0.830788319786
599,gini,18,447,28,255,0.848379207397
600,gini,19,2647,36,494,0.778752591957
601,gini,25,4630,16,405,0.733421256852
602,entropy,26,3437,31,478,0.750182238657
603,gini,48,2279,8,361,0.796236596508
604,entropy,30,2503,16,4,0.791613632899
605,gini,11,1444,16,29,0.849345903563
606,gini,2,2205,9,395,0.794286626075
607,gini,7,1471,11,101,0.8330888467
608,gini,31,910,7,145,0.844657210613
609,gini,10,1997,29,496,0.999995980424
610,entropy,49,226,17,636,0.849301066381
611,gini,39,1678,30,289,0.822900798936
612,gini,45,4713,25,355,0.733421256852
613,entropy,10,3509,39,300,0.748845742069
614,entropy,34,674,47,629,0.843916393461
615,gini,34,307,18,291,0.849436351633
616,entropy,21,4852,27,203,0.733421256852
617,gini,14,134,21,583,0.851185166236
618,gini,11,1349,11,432,0.830985507807
619,entropy,30,1748,41,46,0.835236005154
620,gini,18,3352,10,721,0.758179308408
621,entropy,34,4299,7,19,0.748269281909
622,gini,18,13,48,614,0.858654001114
623,gini,46,2197,33,52,0.820556452461
624,gini,9,2921,48,465,0.766066829257
625,entropy,49,2207,40,114,0.805548253067
626,entropy,45,3463,14,639,0.75219793843
627,entropy,41,2676,33,169,0.789773211367
628,gini,22,2268,7,356,0.796784341011
629,entropy,19,2410,9,312,0.795206836841
630,gini,36,3233,14,373,0.757916391046
631,gini,32,1111,9,282,0.838391013494
632,entropy,17,4554,15,623,0.733421256852
633,entropy,20,1200,7,508,0.83148943275
634,gini,12,3201,30,248,0.763941580584
635,gini,27,4243,32,52,0.75219793843
636,gini,32,4386,13,491,0.73797849112
637,gini,25,802,42,343,0.842992067323
638,gini,34,440,29,143,0.848180686456
639,gini,31,4087,17,670,0.578105331403
640,gini,45,864,33,664,0.839004487338
641,gini,46,4212,30,728,0.749524945253
642,gini,11,4494,6,65,0.762057339492
643,gini,30,718,10,131,0.845402143138
644,entropy,12,2080,47,32,0.839968517664
645,entropy,29,1835,20,694,0.813019488094
646,gini,48,525,11,366,0.847197412189
647,gini,46,1992,39,744,0.808199336463
648,entropy,6,2267,45,591,0.797003438813
649,gini,30,4080,36,549,0.74580028263
650,entropy,17,3555,8,533,0.747991260643
651,entropy,14,1748,47,179,0.821432843667
652,gini,40,964,47,101,0.842312864138
653,gini,39,816,21,282,0.844722939954
654,gini,31,2117,14,371,0.803839290216
655,gini,39,774,2,639,0.842225225018
656,entropy,2,1922,19,452,0.799435424408
657,gini,46,2583,18,665,0.784383405453
